optimizer = torch.optim.Adam([premiums_input], lr=1)
n_iters = 100000
loss_value = smooth_loss(premiums_input, balance_activation_function=torch.nn.ELU(5.0))

Iteration      0: Loss = 1660812.3750, Positive Balance Years =  13, Premiums = [  24813.83,   38412.09,    4424.87,    6602.52,   15372.14,   31704.93,   24505.67,   44823.24,   22782.40,   31616.31,   17445.67,   20086.87,    1117.29,    8443.95,   14695.42,   25927.09,   34884.38,   40001.57,    8052.47,   14114.43]
Iteration  10000: Loss =   45260.1250, Positive Balance Years =  18, Premiums = [  34813.83,   48412.09,   14424.87,   16602.53,   25372.14,   41704.93,   34505.67,   54823.24,   32782.40,   41616.31,   27445.67,   30086.87,   11117.29,   18443.95,   24695.42,   35927.09,   44884.38,   50001.57,   18052.47,   24114.43]
Iteration  20000: Loss = -210408.1875, Positive Balance Years =  20, Premiums = [  36510.60,   50074.30,   16050.76,   18193.22,   26929.55,   43230.36,   36000.93,   56294.29,   34236.73,   43063.89,   28903.93,   31580.65,   12661.78,   20041.54,   26347.79,   37635.04,   46640.27,   51802.47,   19896.04,   25998.19]
Iteration  30000: Loss = -210511.5625, Positive Balance Years =  20, Premiums = [  36693.61,   50202.47,   16121.00,   18207.71,   26891.25,   43141.23,   35863.83,   56119.07,   34035.41,   42851.66,   28708.45,   31441.52,   12602.86,   20066.88,   26460.13,   37835.70,   46916.79,   52150.84,   20312.34,   26478.58]
Iteration  40000: Loss = -210617.3281, Positive Balance Years =  20, Premiums = [  36879.14,   50332.07,   16192.07,   18222.11,   26852.24,   43050.66,   35724.79,   55941.37,   33830.90,   42636.69,   28510.17,   31300.46,   12542.99,   20092.62,   26573.75,   38038.82,   47196.91,   52504.07,   20734.33,   26965.38]
Iteration  50000: Loss = -210720.1406, Positive Balance Years =  20, Premiums = [  37056.74,   50456.03,   16260.06,   18235.82,   26814.80,   42963.93,   35591.17,   55770.71,   33635.26,   42430.40,   28320.27,   31165.30,   12485.61,   20117.22,   26682.59,   38233.27,   47465.15,   52842.33,   21138.28,   27431.54]
Iteration  60000: Loss = -210826.2500, Positive Balance Years =  20, Premiums = [  37243.33,   50586.55,   16331.57,   18250.32,   26775.47,   42872.68,   35451.12,   55591.89,   33429.36,   42213.88,   28120.52,   31023.30,   12425.33,   20143.05,   26797.01,   38437.67,   47747.25,   53197.88,   21563.15,   27921.79]
Iteration  70000: Loss = -210939.9688, Positive Balance Years =  20, Premiums = [  37430.04,   50716.55,   16402.69,   18264.37,   26735.72,   42781.08,   35310.48,   55412.16,   33223.18,   41996.64,   27920.29,   30880.61,   12364.46,   20168.37,   26911.10,   38641.71,   48028.87,   53553.18,   21987.67,   28411.65]
Iteration  80000: Loss = -211039.7812, Positive Balance Years =  20, Premiums = [  37611.62,   50843.89,   16472.30,   18278.70,   26697.80,   42692.74,   35174.41,   55238.36,   33023.37,   41786.29,   27726.43,   30742.71,   12306.08,   20193.64,   27022.41,   38840.66,   48303.25,   53898.97,   22400.71,   28888.24]
Iteration  90000: Loss = -211141.4688, Positive Balance Years =  20, Premiums = [  37787.89,   50967.12,   16539.84,   18292.33,   26660.76,   42606.71,   35041.93,   55069.36,   32829.24,   41581.81,   27537.92,   30608.50,   12249.10,   20217.95,   27130.44,   39033.62,   48569.46,   54234.69,   22801.62,   29350.75]
Iteration 100000: Loss = -211245.4219, Positive Balance Years =  20, Premiums = [  37962.23,   51089.02,   16606.21,   18305.32,   26623.45,   42520.91,   34910.30,   54901.16,   32635.71,   41378.25,   27350.26,   30474.71,   12192.02,   20241.59,   27237.15,   39224.82,   48833.35,   54567.45,   23199.13,   29809.53]
Iteration 110000: Loss = -211350.4219, Positive Balance Years =  20, Premiums = [  38152.82,   51222.25,   16679.28,   18320.40,   26583.92,   42428.67,   34767.93,   54719.10,   32426.42,   41157.98,   27147.33,   30330.42,   12131.03,   20268.33,   27354.02,   39433.25,   49120.93,   54929.70,   23632.04,   30308.94]
Iteration 120000: Loss = -211459.4688, Positive Balance Years =  20, Premiums = [  38338.66,   51352.06,   16750.37,   18334.87,   26544.83,   42337.93,   34628.54,   54540.97,   32221.47,   40942.38,   26948.56,   30189.00,   12070.98,   20293.99,   27467.92,   39636.62,   49401.54,   55283.55,   24054.60,   30796.65]
Iteration 130000: Loss = -211560.8750, Positive Balance Years =  20, Premiums = [  38519.05,   51478.33,   16819.67,   18349.04,   26506.97,   42249.94,   34493.12,   54368.01,   32022.52,   40733.24,   26755.62,   30051.66,   12012.74,   20318.94,   27578.64,   39834.35,   49674.46,   55627.27,   24465.32,   31270.62]
Iteration 140000: Loss = -211664.4062, Positive Balance Years =  20, Premiums = [  38701.88,   51605.86,   16889.67,   18363.27,   26468.54,   42160.73,   34356.21,   54193.09,   31821.08,   40521.34,   26560.28,   29912.62,   11953.76,   20344.10,   27690.57,   40034.11,   49950.36,   55975.27,   24881.13,   31750.09]
Iteration 150000: Loss = -211774.1250, Positive Balance Years =  20, Premiums = [  38893.97,   51739.96,   16963.26,   18378.21,   26428.05,   42066.79,   34212.20,   54009.11,   31609.19,   40298.56,   26354.82,   29766.29,   11891.67,   20370.64,   27808.38,   40244.60,   50240.67,   56340.93,   25318.20,   32254.45]
Iteration 160000: Loss = -211877.7500, Positive Balance Years =  20, Premiums = [  39069.86,   51863.18,   17030.54,   18391.56,   26390.64,   41980.41,   34079.50,   53839.49,   31414.27,   40093.62,   26165.90,   29631.73,   11834.35,   20394.66,   27916.15,   40437.48,   50506.92,   56676.47,   25719.29,   32717.20]
Iteration 170000: Loss = -211974.3750, Positive Balance Years =  20, Premiums = [  39273.18,   52005.46,   17109.29,   18408.96,   26349.96,   41883.96,   33930.66,   53648.69,   31194.04,   39862.20,   25952.05,   29479.94,   11771.00,   20424.32,   28041.32,   40659.40,   50812.88,   57061.64,   26179.32,   33247.25]
Iteration 180000: Loss = -212104.4844, Positive Balance Years =  20, Premiums = [  39462.00,   52136.31,   17180.18,   18421.77,   26307.76,   41788.92,   33785.45,   53463.88,   30981.63,   39638.96,   25745.81,   29332.52,   11707.27,   20448.54,   28156.20,   40865.93,   51098.91,   57422.89,   26611.35,   33745.87]
Iteration 190000: Loss = -212214.3438, Positive Balance Years =  20, Premiums = [  39651.21,   52268.31,   17252.40,   18436.37,   26267.85,   41696.42,   33643.54,   53282.38,   30772.72,   39419.27,   25543.41,   29188.35,   11646.02,   20474.45,   28271.93,   41072.80,   51384.37,   57782.77,   27041.58,   34242.32]
Iteration 200000: Loss = -212317.0000, Positive Balance Years =  20, Premiums = [  39834.88,   52396.74,   17322.96,   18450.99,   26229.54,   41607.23,   33506.28,   53106.86,   30570.58,   39206.74,   25347.55,   29048.89,   11587.06,   20500.04,   28384.68,   41273.98,   51661.93,   58132.24,   27459.18,   34724.30]
Iteration 210000: Loss = -212420.0938, Positive Balance Years =  20, Premiums = [  40018.17,   52524.76,   17393.20,   18465.45,   26191.28,   41517.99,   33369.45,   52931.87,   30368.99,   38994.80,   25152.28,   28909.94,   11528.15,   20525.43,   28497.01,   41474.49,   51938.48,   58480.52,   27875.28,   35204.62]
Iteration 220000: Loss = -212531.2812, Positive Balance Years =  20, Premiums = [  40212.03,   52659.77,   17466.94,   18479.85,   26149.71,   41422.29,   33223.09,   52745.12,   30153.89,   38768.73,   24943.49,   28761.09,   11464.68,   20551.66,   28615.49,   41686.58,   52231.70,   58850.12,   28317.01,   35714.40]
